                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.90206,                0.50659,                 1.1661,                0.65306,                 0.4926,                 0.5118,                0.24584,                 2.0144,                 1.1878,                 2.3553,             0.00011788,             0.00011788,             0.00011788
                     81,                 0.8939,                0.50094,                 1.1541,                0.58667,                0.49491,                0.51657,                 0.2444,                 2.0144,                 1.1781,                 2.3756,             0.00011093,             0.00011093,             0.00011093
                     82,                0.89231,                0.50004,                 1.1521,                0.68268,                 0.4912,                0.52023,                0.24962,                 2.0107,                 1.1939,                 2.3645,             0.00010398,             0.00010398,             0.00010398
                     83,                0.88419,                0.49263,                 1.1505,                0.55941,                0.50469,                0.51153,                0.24649,                 2.0077,                 1.1732,                 2.3464,             9.7031e-05,             9.7031e-05,             9.7031e-05
                     84,                0.87867,                0.49667,                  1.151,                0.65783,                0.48525,                0.51552,                0.24728,                 2.0112,                 1.1825,                 2.3707,              9.008e-05,              9.008e-05,              9.008e-05
                     85,                0.87345,                0.48725,                 1.1478,                0.64507,                0.52136,                0.51371,                 0.2492,                 2.0014,                 1.1826,                 2.3683,             8.3129e-05,             8.3129e-05,             8.3129e-05
                     86,                0.85529,                0.43483,                 1.1562,                0.62435,                 0.5042,                0.50993,                0.24618,                 2.0055,                 1.1915,                 2.3879,             7.6178e-05,             7.6178e-05,             7.6178e-05
                     87,                0.84081,                0.42365,                 1.1461,                0.64116,                 0.5035,                0.51546,                0.24844,                 2.0141,                 1.1914,                 2.4058,             6.9228e-05,             6.9228e-05,             6.9228e-05
                     88,                 0.8306,                0.42077,                 1.1391,                 0.6584,                0.48816,                0.51998,                0.25281,                 2.0039,                  1.196,                 2.3877,             6.2277e-05,             6.2277e-05,             6.2277e-05
                     89,                0.82604,                 0.4158,                 1.1386,                0.56961,                 0.4854,                0.51827,                 0.2564,                 2.0011,                 1.1926,                 2.3975,             5.5326e-05,             5.5326e-05,             5.5326e-05
                     90,                0.81489,                 0.4135,                 1.1319,                0.54677,                0.50954,                0.52118,                0.25599,                 2.0013,                 1.1845,                 2.4094,             4.8375e-05,             4.8375e-05,             4.8375e-05
                     91,                0.80874,                0.40647,                 1.1252,                0.66303,                0.48699,                 0.5205,                0.25378,                 2.0005,                 1.2048,                 2.4115,             4.1424e-05,             4.1424e-05,             4.1424e-05
                     92,                0.80468,                0.40648,                 1.1247,                0.55085,                 0.5098,                0.52058,                0.25622,                 2.0053,                  1.203,                 2.4167,             3.4473e-05,             3.4473e-05,             3.4473e-05
                     93,                0.79592,                0.40127,                 1.1189,                0.68568,                0.48972,                0.52097,                0.25586,                 2.0051,                 1.2135,                 2.4181,             2.7523e-05,             2.7523e-05,             2.7523e-05
                     94,                0.79505,                0.40034,                 1.1181,                 0.6889,                0.48262,                0.52187,                0.25518,                 2.0068,                 1.2008,                 2.4291,             2.0572e-05,             2.0572e-05,             2.0572e-05
                     95,                0.78567,                0.39902,                  1.113,                 0.6474,                0.50239,                0.51863,                0.25542,                  2.011,                 1.2074,                  2.437,             1.3621e-05,             1.3621e-05,             1.3621e-05
